"Value","Text","URL","Suggested Title","Suggested URL"
"4872","AirCurve 10 VAuto BiLevel Machine with HumidAir Heated Humidifier","https://sleeping.com/products/aircurve-10-vauto-bilevel-machine","AirCurve 10 VAuto BiLevel Machine","https://www.sleeping.com/products/aircurve-10-vauto-bilevel-machine"
"6092","AirCurve 10 Vauto USA C2C CO","https://sleeping.com/products/aircurve-10-vauto-bilevel-machine","AirCurve 10 VAuto BiLevel Machine","https://www.sleeping.com/products/aircurve-10-vauto-bilevel-machine"
"6240","Aircurve 11 asv","https://sleeping.com/products/aircurve-11-asv","AirCurve 11 ASV","https://www.sleeping.com/products/aircurve-11-asv"
"6236","AirCurve™ 11 VAuto with HumidAir™","https://sleeping.com/products/resmed-aircurve-11-vauto-bilevel-machine-with-humidair","AirCurve 11 VAuto with HumidAir","https://www.sleeping.com/products/resmed-aircurve-11-vauto-bilevel-machine-with-humidair"
"5871","AirMini AutoSet Travel CPAP Machine + Zephair Universal Hose Adapter","https://sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine","AirMini AutoSet Travel CPAP Machine","https://www.sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine"
"5358","AirMini AutoSet™ Travel CPAP Machine","https://sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine","AirMini AutoSet Travel CPAP Machine","https://www.sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine"
"5666","AirMini Travel CPAP Machine Bundle with AirFit F20 Full Face Mask","https://www.sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine?variant=52577930314003","AirMini AutoSet Travel CPAP Machine","https://www.sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine"
"5676","AirMini Travel CPAP Machine Bundle with AirFit F30 Full Face Mask","https://www.sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine?variant=52577930314003","AirMini AutoSet Travel CPAP Machine","https://www.sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine"
"5675","AirMini Travel CPAP Machine Bundle with AirFit N20 Nasal Mask","https://www.sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine?variant=52577930314003","AirMini AutoSet Travel CPAP Machine","https://www.sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine"
"5677","AirMini Travel CPAP Machine Bundle with AirFit P10 Nasal Pillow Mask","https://www.sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine?variant=52577930314003","AirMini AutoSet Travel CPAP Machine","https://www.sleeping.com/products/resmed-airmini-autoset-travel-cpap-machine"
